-30.94,2022-04-04
-30.44,2022-04-04
-30.44,2022-04-04
-3.85,2022-04-04
-2.0,2022-04-04
-0.36,2022-04-04
-0.51,2022-04-04
-0.51,2022-04-04
-0.5,2022-04-04
-0.35,2022-04-04
-1.54,2022-04-04
-7.84,2022-04-04
-16.09,2022-04-04
-0.55,2022-04-04
0.0,2022-04-04
8.09,2022-04-04
-12.64,2022-04-04
-0.27,2022-04-04
-0.84,2022-04-04
-0.27,2022-04-04
-0.44,2022-04-04
-7.95,2022-04-04
-0.49,2022-04-04
-0.51,2022-04-04
-13.42,2022-04-04
-0.46,2022-04-04
